Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g),Meal_type,Region,Type,Categories
Kerala Chicken,Indian Curry, 1 pack,233,10,16,13,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Indian Curry Chicken,Coop, 1 bowl,220,6,14,16,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Village Chicken Curry,Yum-Indian Village Chicken Curry, 1 cup,216,17,16,18,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
chicken,Indian curry, 1 cup,395,42,5,38,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Chicken Curry,Fatsecret, 1 cup,191,6,5,28,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
My Indian Chicken Curry,My Indian Chicken Curry, 1 serving size cooked,191,6,5,28,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
INDIAN CHICKEN CURRY,Morrisons, 400 gram,472,75,8,23,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian,Chicken Breast Curry, 250 g,450,0,30,52,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Chicken Curry,Home Made Indian Chicken Curry, 100 g,96,3,5,8,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Pilau Rice,rice, 100 g,171,31,3,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,quinoa rice, 1 cup,240,47,4,6,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Rice Bowl, 45 g,160,35,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Mexican Rice,Rice, 0.25 cup,199,29,8,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Jasmine  Rice, 45 g raw weight,160,36,1,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Ono Rice, 1 scoop,190,40,2,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Red Rice,Rice, 45 g,150,36,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Carolina  rice, 0.25 cup,150,35,1,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Black Rice,Rice, 50 g,160,34,2,5,Lunch/Dinner,All Indian,Vegetarian,Healthy
Yellow Rice,Rice: Mahatma Yellow Rice, 1 cup,200,43,1,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,,,150,35,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Spanish Rice,spanish rice, 1 cup,200,40,3,5,Lunch/Dinner,All Indian,Vegetarian,Healthy
Yellow Rice,Yellow rice, 1 cup,150,33,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Rice A Roni, 1 cup,190,41,1,5,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice Cake,Rice cakes, 1 cake,26,11,0,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
Instant Rice,Minute Rice, 1 cup,200,45,0,5,Lunch/Dinner,All Indian,Vegetarian,Healthy
Dirty Rice,dirty rice, 1 cup,130,29,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Rice,Cilantro lime rice, 0.75 cup,201,37,3,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Jasmine Rice,Thai Rice, 0.25 cup dry,180,42,0,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
White Rice,Jasmine  rice, 0.25 cup ( dry),160,37,1,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
Butter Chicken,Butter Chicken, 1 cup,468,14,28,40,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken Sauce,Kfi Butter Chicken Sauce, 5 Tbsp,80,7,5,1,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Healthier Butter Chicken,Butter Chicken, 1 serving,336,19,14,39,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Continental Indian Chicken Tonight Butter Chicken, 123 grams,140,10,10,2,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
butter chicken,HEB butter chicken, 0.25 cup rice &1/4 cup sauce,210,39,5,4,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken Sauce,Kfi Butter Chicken Sauce, 5 Tbsp,80,7,5,1,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken (No Butter),Homemade, 1 cup,250,10,4,16,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Presidents Choice Butter Chicken, 0.5 tray,310,12,21,18,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken With Rice,Iga Butter Chicken, 400 g,470,74,14,0,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
"Butter chicken, no rice",Woolworths Butter Chicken, 180 g,282,10,17,23,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Costco, 0.167 tray (approx 1c.),260,2,10,42,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
butter chicken,pateks, 100 g,133,8,11,1,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Waitrose, 350 g,581,19,36,43,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Mayuri, 1 scoop,280,10,14,32,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
butter chicken,Masterfoods, 195 g,283,5,17,29,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Trader Joe's, 1 cup,270,33,8,18,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Pataks Butter Chicken,Pataks, 0.5 cup,180,10,15,2,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Wegman's, 1 cup,510,10,30,43,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,blue menue, 1 meal,370,57,6,23,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Butter Chicken,Shamiana, 1 Meal,1211,90,73,50,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Whole Wheat Upma,Upma, 2 Cups,277,56,6,6,Breakfast,South Indian,Vegetarian,Healthy
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6,Breakfast,South Indian,Vegetarian,Healthy
Upma,Cracked Corn Upma, 100 grams,419,67,11,14,Breakfast,South Indian,Vegetarian,Healthy
Upma,Homemade, 120 g,250,46,4,8,Breakfast,South Indian,Vegetarian,Healthy
Upma,Aachi Rava Upma Mix, 100 g,340,63,0,13,Breakfast,South Indian,Vegetarian,Healthy
Upma,Suhas, 100 g,150,22,7,3,Breakfast,South Indian,Vegetarian,Healthy
Upma,Gits, 2 oz / 50 gms Uncooked,180,33,3,5,Breakfast,South Indian,Vegetarian,Healthy
Upma,Seviyan Upma, 100 g,410,69,10,11,Breakfast,South Indian,Vegetarian,Healthy
Upma,Maiya upma, 1 cup,250,27,14,3,Breakfast,South Indian,Vegetarian,Healthy
Upma,Mtr, 0.5 pack (100g),399,84,7,15,Breakfast,South Indian,Vegetarian,Healthy
Rice Upma Kozhukattai,Rice Upma Kozhukattai, 1 cup,400,50,7,50,Breakfast,South Indian,Vegetarian,Healthy
Upma,Ng, 1 Plate,177,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
nutri upma,quaker upma, 100 gram,440,70,14,8,Breakfast,South Indian,Vegetarian,Healthy
masala upma,mtr masala upma, 100 gm,416,68,12,9,Breakfast,South Indian,Vegetarian,Healthy
upma,roasted upma rava, 30 gram,114,25,0,3,Breakfast,South Indian,Vegetarian,Healthy
Upma,Priya, 50 g uncooked,200,27,9,4,Breakfast,South Indian,Vegetarian,Healthy
upma,vermicelli, 1 cup,415,22,1,3,Breakfast,South Indian,Vegetarian,Healthy
Upma,Indigo Rava Upma, 1 cup,352,54,11,8,Breakfast,South Indian,Vegetarian,Healthy
Vegetable Upma,Homemade, 100 g,209,38,3,7,Breakfast,South Indian,Vegetarian,Healthy
Upma,Maiyas, 50 gm,210,33,6,5,Breakfast,South Indian,Vegetarian,Healthy
semiya,semiya, 1000 gram,381,83,1,11,Breakfast,South Indian,Vegetarian,Healthy
Semiya,Vermicelli Semiya, 100 g,354,77,0,11,Breakfast,South Indian,Vegetarian,Healthy
Semiya Upma,Homemade, 1 cup,188,35,4,6,Breakfast,South Indian,Vegetarian,Healthy
Semiya Upma,Rekha's, 1 cup,188,33,4,6,Breakfast,South Indian,Vegetarian,Healthy
semiya,ttr, 100 g,370,76,1,12,Breakfast,South Indian,Vegetarian,Healthy
Semiya Payasam,Shashi's Cuisine, 1 Cup [Fat Free Milk],110,18,3,5,Breakfast,South Indian,Vegetarian,Healthy
semiya kheer,mtr, 100 gram,400,86,4,5,Breakfast,North Indian,Vegetarian,Healthy
vermicelli semiya,vermicelli, 1 packet,361,78,1,11,Breakfast,All Indian,Vegetarian,Healthy
Roasted Vermicilli,Anil Semiya, 200 gms,361,80,16,15,Breakfast,All Indian,Vegetarian,Healthy
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6,Breakfast,South Indian,Vegetarian,Healthy
Semiya Upma,Calorie Count, 83.6 gms,90,16,1,3,Breakfast,South Indian,Vegetarian,Healthy
Semiya Payasam ,Aachi, 100 gram,307,64,3,6,Snacks,South Indian,Vegetarian,Unhealthy
Semiya Kheer,My Home Made, 1 cereal bowl,262,44,7,9,Snacks,North Indian,Vegetarian,Unhealthy
Semiya Payasam,Homemade, 1 Portion,560,94,15,10,Snacks,South Indian,Vegetarian,Unhealthy
semiya payasam mix,aachi, 100 gram,392,83,4,6,Snacks,South Indian,Vegetarian,Unhealthy
Semiya,Mtr roasted vermicilli, 440 g,341,75,1,8,Snacks,South Indian,Vegetarian,Unhealthy
Wheat vermicelli semiya,Anil, 0.5 cup,369,80,1,12,Snacks,South Indian,Vegetarian,Unhealthy
Semiya payasam mix,Brahmins, 25 g,100,22,1,1,Snacks,South Indian,Vegetarian,Unhealthy
breakfast,kuthuvilaku raggi semiya, 1 cups,365,80,0,10,Breakfast,All Indian,Vegetarian,Healthy
Roasted Semiya Vermicelli,Annam, 100 gram,354,76,1,12,Breakfast,All Indian,Vegetarian,Healthy
Chapati,Chapati, 1 cup,120,20,3,4,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati Bread,Chapati Bread, 1 slice,60,11,1,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Chapati House, 1 chapati,110,18,3,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
1 Whole Wheat Chapati,Chapati, 1 whole,68,13,1,2,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Homemade, 50 g,120,20,3,4,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati Without Oil,My Chapati, 1 piece,90,10,1,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
chapati,kawan chapati, 1 Serving,205,30,8,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Roti, 50 gm,106,15,1,4,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
atta chapati,chapati, 100 gram,340,69,2,12,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Pilsburry, 3 chapatis,273,56,1,9,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
chapati,chapati(annapuma), 100 gram,320,64,2,11,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Swad, 1 piece (57 gm),130,23,4,4,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
chapati,aldan chapati, 1 gram,267,54,2,8,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Mima's Chapati, 1 chapati,102,22,1,4,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Homemade, 1 plate cooked,60,11,1,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Indian, 100 g,270,0,0,0,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Kawan, 1 roti,120,16,5,3,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
chapati,malabar chapati, 100 gram,282,46,5,10,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Sainsburys, 1 chapati,308,52,7,8,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chapati,Sabita, 100 g,322,54,8,9,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chicken Biriyani,Chicken Biriyani, 1 Full,200,57,12,19,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Beef Biriyani,Khazana Biriyani, 1 plate,349,48,7,21,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Chicken Biriyani,KYF, 368 g,457,67,13,23,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Mutton Biriyani,Generic, 300 g,651,81,24,32,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Chicken Biriyani ,Generic, 1 cup,396,55,12,25,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Lamb Biriyani,12wbt, 1 serve,409,37,11,37,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Vegetable Biriyani,Sainsburys, 350 g,397,50,16,10,Lunch/Dinner,North Indian,Vegetarian,Healthy
Vegetable Biriyani,Homemade, 0.75 cup,128,14,7,3,Lunch/Dinner,North Indian,Vegetarian,Healthy
Lamb Biriyani,Indian, 2 cups,417,27,24,24,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Chicken Biriyani,Homemade, 0.5 Cup,150,25,3,10,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Veg Biriyani,Swad, 100 g,169,29,4,4,Lunch/Dinner,North Indian,Vegetarian,Healthy
Vegetable Biriyani,Shana, 150 g (1 package),250,55,9,8,Lunch/Dinner,North Indian,Vegetarian,Healthy
Chicken Biriyani,Tesco, 500 g,730,92,25,35,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Cauliflower Biriyani,Indian, 2 cups,384,60,12,9,Lunch/Dinner,North Indian,Vegetarian,Healthy
Type of Biriyani,Karnataka Donne Biriyani, 1 Full,350,0,0,0,Lunch/Dinner,North Indian,Vegetarian,Healthy
Biriyani,Ready to eat biriyani, 1 cup,182,22,7,8,Lunch/Dinner,North Indian,Vegetarian,Healthy
Veg Biriyani,Sanskriti, 0.5 pack,280,40,10,8,Lunch/Dinner,North Indian,Vegetarian,Healthy
Biriyani Sauce,Pataks, 0.5 Jar 500g,127,0,0,0,Lunch/Dinner,North Indian,Vegetarian,Healthy
Chicken Biriyani,Ambur, 250 g,626,125,14,45,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Biriyani,Spencer's, 1 gram,78,3,7,1,Lunch/Dinner,North Indian,Vegetarian,Healthy
Pootharekulu,Ifood.tv," 4 "" roll",287,7,30,0,Snacks,All Indian,Vegetarian,Unhealthy
Pootharekulu,Generic, 1 serving,158,31,4,2,Snacks,All Indian,Vegetarian,Unhealthy
the Most Accurate One!,Generic Pootharekulu, 1 cup,100,1,1,50,Breakfast,All Indian,Vegetarian,Healthy
Ragi Mudde,Indian Ragi, 100 g,340,72,2,8,Breakfast,South Indian,Vegetarian,Healthy
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi Beads,Ragi, 0.5 cup,100,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi flakes,Ragi flakes, 30 g,112,24,1,3,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Ragi, 100 g,362,77,1,11,Breakfast,South Indian,Vegetarian,Healthy
Sankati Ragi,Sankati Ragi, 1 Cup,220,44,2,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Organic Ragi malt., 1 cup,328,72,1,7,Breakfast,South Indian,Vegetarian,Healthy
ragi,Ragi Biscuits, 1 pack,551,57,33,6,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Generic, 100 g,325,69,2,9,Breakfast,South Indian,Vegetarian,Healthy
Chappathi,Ragi, 100 g,325,46,9,10,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
Chappathi,Ragi, 100 g,325,46,9,10,Breakfast/Lunch/Dinner,North Indian,Vegetarian,Healthy
P's Ragi Kanji,P's Ragi Kanji, 1 cup,150,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi Chapati,Home Made Ragi Chapati, 3 servings,375,72,4,11,Breakfast,North Indian,Vegetarian,Healthy
Ragi Malt,Ragi Malt, 100 gram,365,73,1,13,Breakfast,South Indian,Vegetarian,Healthy
Ragi Java,Ragi Java, 1 cup,250,0,6,12,Breakfast,South Indian,Vegetarian,Healthy
Kezhvaragu (Ragi Millet),Kezhvaragu (Ragi Millet), 100 g,328,73,1,7,Breakfast,South Indian,Vegetarian,Healthy
Ragi Balls_svv,Generic, 0.5 cup cooked/65g,220,44,0,6,Breakfast,South Indian,Vegetarian,Healthy
Ragi Malt,Raji's, 1 cup,105,22,0,5,Breakfast,South Indian,Vegetarian,Healthy
Ragi Dosa,Indian, 1 Plain Dosa,102,16,3,2,Breakfast,South Indian,Vegetarian,Healthy
Ragi pancake mix,Indira's  ragi dosa, 0.25 Cup,126,27,0,4,Breakfast,South Indian,Vegetarian,Healthy
ragi roti,haldiram ragi roti, 1 piece,80,14,2,2,Breakfast,South Indian,Vegetarian,Healthy
Ragi Roti,Home Made, 1 piece,107,15,4,2,Breakfast,South Indian,Vegetarian,Healthy
ragi roti,nice, 100 gram,326,46,9,10,Breakfast,South Indian,Vegetarian,Healthy
ragi roti,master, 1 piece,100,21,6,5,Breakfast,South Indian,Vegetarian,Healthy
haldirams,ragi roti, 1 piece,80,14,2,2,Snacks,South Indian,Vegetarian,Unhealthy
Ragi/Naachni Roti,Generic, 100 grams,336,88,2,8,Breakfast,South Indian,Vegetarian,Healthy
Ragi Roti / Nachni Bhakri,"Generic, 1 piece"," 1 piece, 50g",186,31,5,2,Breakfast,South Indian,Vegetarian,Healthy
Homemade Ragi Roti,Shashi's Cuisine, 1 Piece,164,36,1,4,Breakfast,South Indian,Vegetarian,Healthy
Bajra-ragi Roti,Generic Indian, 80 gms,302,64,2,7,Breakfast,South Indian,Vegetarian,Healthy
Ragi (Finger Millet Flour) Roti,Homemade, 1 Roti,60,10,1,1,Breakfast,South Indian,Vegetarian,Healthy
Ragi and Wheat Roti,Homemade, 1 ROTI,70,12,2,2,Breakfast,South Indian,Vegetarian,Healthy
Ragi Mudde,Indian Ragi, 100 g,340,72,2,8,Breakfast,South Indian,Vegetarian,Healthy
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi Beads,Ragi, 0.5 cup,100,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi flakes,Ragi flakes, 30 g,112,24,1,3,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Ragi, 100 g,362,77,1,11,Breakfast,South Indian,Vegetarian,Healthy
Sankati Ragi,Sankati Ragi, 1 Cup,220,44,2,0,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Organic Ragi malt., 1 cup,328,72,1,7,Breakfast,South Indian,Vegetarian,Healthy
ragi,Ragi Biscuits, 1 pack,551,57,33,6,Breakfast,South Indian,Vegetarian,Healthy
Ragi,Generic, 100 g,325,69,2,9,Breakfast,South Indian,Vegetarian,Healthy
Akki Roti Rice Roti,Akki Roti, 1 Roti,152,30,2,3,Breakfast,North Indian,Vegetarian,Healthy
Akki Roti,Home Made, 1 each,158,15,9,2,Breakfast,North Indian,Vegetarian,Healthy
Kadai Akki Roti,Home, 1 roti,150,29,1,5,Breakfast,North Indian,Vegetarian,Healthy
Akki Rotti,Homemade, 30 g,150,24,3,2,Breakfast,North Indian,Vegetarian,Healthy
akki rotti,Maiyas, 1 roti,200,26,9,3,Breakfast,North Indian,Vegetarian,Healthy
Queijo Musarela Akki,Akki, 1 Porcão De 30g,102,0,8,7,Breakfast,North Indian,Vegetarian,Healthy
Akki Rotti,House Made, 1 rotti,115,30,0,1,Breakfast,North Indian,Vegetarian,Healthy
Akki Otti,Coorg, 5 rotis,152,29,2,3,Breakfast,North Indian,Vegetarian,Healthy
Akki Tari,Vijay, 100 g,342,75,1,7,Breakfast,North Indian,Vegetarian,Healthy
Apresuntado akki,Aurora, 100 g,43,1,2,6,Breakfast,North Indian,Vegetarian,Healthy
Roti,Roti, 4 bakje,122,16,6,2,Breakfast,North Indian,Vegetarian,Healthy
Akki Rotti (Rice Crepe),Home Made, 1 cooked piece,200,6,1,1,Breakfast,North Indian,Vegetarian,Healthy
Tawa Roti,Roti, 10 cm slice,106,22,1,4,Breakfast,North Indian,Vegetarian,Healthy
Roti,Tandoori Roti, 1 roti,120,20,3,4,Breakfast,North Indian,Vegetarian,Healthy
Roomali Roti,Roti, 1 roti (large),80,10,1,2,Breakfast,North Indian,Vegetarian,Healthy
Steak Roti,Roti, 3.8 oz,260,3,16,27,Breakfast,North Indian,Vegetarian,Healthy
Roti,Trinidad Roti, 1 roti,325,36,17,8,Breakfast,North Indian,Vegetarian,Healthy
Biscuit Avena Chocolate,Mr Akki, 1 biscuit = 10 g,45,6,2,1,Snacks,North Indian,Vegetarian,Unhealthy
Roti Lam,Roti, 1 portie,815,78,33,53,Breakfast,North Indian,Vegetarian,Healthy
Roti,Roti Atta, 0.25 cup,120,20,1,4,Breakfast,North Indian,Vegetarian,Healthy
Gulab Jamoon,Homemade, 2 balls,340,16,7,4,Snacks,North Indian,Vegetarian,Unhealthy
gulab jamoon,taaza, 37 gram,280,48,8,3,Snacks,North Indian,Vegetarian,Unhealthy
Icecream,Arun gulab jamoon, 1 scoop,310,39,15,6,Snacks,North Indian,Vegetarian,Unhealthy
Gulab Jamoon/Jamun,Indian - Sv, 2 balls,387,0,2,0,Snacks,North Indian,Vegetarian,Unhealthy
Gulab jamoon mix,Nandini, 100 g,400,54,13,18,Snacks,North Indian,Vegetarian,Unhealthy
Goolab Jamoon,"Naps, Trinidad"," Trinidad, 111 g",305,35,17,3,Snacks,North Indian,Vegetarian,Unhealthy
